x,y,c
5,5,27,-1
5,19,11,-1
11,32,3,-1
27,0,18,-1
25,35,2,-1
5,35,31,-1
3,30,5,-1
0,19,21,-1
26,6,19,-1
21,33,7,-1
32,2,13,-1
4,24,32,-1
15,35,29,-1
18,6,29,-1
16,31,9,-1
34,17,8,-1
29,0,3,-1
34,0,2,-1
0,26,8,-1
19,28,6,-1
26,24,8,-1
19,28,12,-1
16,23,11,-1
25,21,17,-1
34,1,29,-1
7,0,10,-1
16,9,10,-1
35,24,26,-1
1,24,32,-1
26,23,24,-1
32,29,29,-1
20,13,1,-1
33,9,25,-1
24,34,10,-1
22,32,28,-1
15,4,8,-1
5,0,17,-1
31,35,21,-1
21,16,25,-1
33,6,12,-1
2,18,6,-1
31,3,35,-1
32,16,8,-1
1,20,6,-1
28,6,18,-1
20,1,2,-1
28,6,2,-1
25,1,17,-1
27,2,34,-1
16,0,4,-1
29,2,23,-1
15,13,6,-1
30,25,2,-1
2,27,22,-1
24,19,9,-1
6,19,10,-1
9,27,17,-1
27,16,34,-1
9,23,1,-1
23,4,1,-1
27,13,19,-1
30,28,32,-1
16,2,1,-1
18,4,28,-1
21,8,27,-1
30,30,10,-1
20,3,1,-1
1,11,34,-1
0,20,21,-1
17,7,5,-1
34,14,18,-1
17,25,26,-1
29,5,28,-1
30,4,12,-1
3,5,20,-1
10,15,15,-1
21,35,34,-1
2,17,9,-1
16,33,9,-1
18,14,32,-1
23,12,27,-1
22,9,16,-1
12,2,1,-1
21,12,5,-1
33,15,26,-1
34,26,5,-1
29,27,5,-1
27,9,2,-1
17,6,35,-1
26,24,13,-1
3,27,25,-1
30,29,34,-1
26,22,16,-1
27,7,8,-1
13,20,4,-1
3,18,10,-1
9,11,1,-1
30,19,26,-1
32,0,32,-1
11,6,0,-1
24,9,8,-1
29,19,17,-1
7,9,3,-1
3,17,10,-1
11,30,11,-1
15,33,29,-1
25,22,21,-1
6,16,4,-1
13,28,4,-1
25,3,10,-1
26,7,0,-1
14,16,19,-1
31,3,9,-1
35,6,26,-1
25,34,0,-1
0,13,33,-1
10,19,20,-1
31,5,16,-1
35,18,9,-1
19,8,28,-1
9,14,0,-1
9,8,32,-1
9,3,0,-1
34,18,22,-1
4,24,20,-1
4,4,14,-1
1,14,33,-1
1,25,18,-1
18,24,1,-1
7,23,25,-1
15,33,3,-1
31,22,11,-1
28,31,30,-1
28,9,29,-1
14,13,17,-1
15,17,21,-1
29,35,16,-1
6,16,5,-1
24,14,10,-1
25,21,33,-1
30,1,10,-1
13,12,33,-1
24,4,28,-1
35,12,2,-1
28,7,31,-1
25,22,13,-1
10,31,28,-1
6,1,8,-1
12,25,23,-1
22,31,24,-1
35,25,5,-1
10,3,18,-1
7,7,2,-1
15,6,15,-1
33,14,2,-1
29,3,4,-1
22,30,35,-1
30,0,0,-1
2,28,25,-1
5,30,0,-1
10,30,26,-1
31,20,29,-1
29,7,16,-1
32,2,23,-1
27,0,17,-1
9,9,21,-1
13,11,31,-1
12,5,31,-1
28,23,24,-1
33,9,18,-1
34,35,28,-1
24,30,12,-1
33,24,35,-1
29,0,2,-1
32,7,18,-1
14,16,7,-1
15,29,18,-1
10,21,3,-1
5,13,6,-1
9,26,31,-1
8,24,30,-1
0,28,5,-1
29,5,9,-1
8,35,9,-1
10,31,16,-1
28,25,12,-1
35,4,5,-1
33,14,6,-1
16,0,35,-1
23,25,25,-1
18,33,14,-1
29,14,6,-1
34,23,28,-1
23,31,27,-1
32,22,2,-1
28,14,28,-1
4,30,12,-1
25,27,27,-1
31,8,7,-1
30,11,32,-1
19,9,10,-1
13,2,24,-1
0,16,27,-1
28,3,22,-1
35,15,8,-1
1,23,3,-1
9,7,33,-1
22,32,4,-1
29,7,28,-1
16,17,3,-1
12,17,13,-1
22,30,31,-1
26,30,12,-1
17,2,31,-1
20,1,27,-1
8,19,14,-1
27,8,2,-1
4,10,34,-1
9,19,22,-1
1,35,3,-1
21,12,20,-1
14,14,15,-1
9,21,25,-1
1,2,8,-1
13,2,9,-1
4,27,8,-1
34,18,33,-1
0,23,7,-1
15,32,27,-1
1,13,26,-1
20,14,18,-1
5,28,13,-1
0,2,34,-1
5,19,16,-1
13,32,35,-1
3,16,26,-1
27,31,8,-1
24,31,31,-1
12,26,7,-1
3,7,1,-1
9,28,15,-1
8,13,8,-1
1,29,26,-1
35,14,9,-1
31,8,22,-1
30,27,2,-1
0,18,33,-1
9,7,9,-1
20,35,15,-1
28,2,23,-1
29,27,31,-1
24,15,24,-1
32,16,33,-1
22,31,11,-1
12,27,35,-1
34,1,26,-1
16,18,9,-1
14,27,32,-1
3,27,31,-1
18,19,13,-1
21,28,4,-1
16,17,20,-1
20,29,16,-1
17,32,12,-1
9,8,19,-1
8,22,0,-1
15,2,18,-1
24,32,25,-1
0,35,17,-1
31,34,16,-1
24,19,25,-1
28,16,6,-1
28,0,15,-1
9,34,11,-1
1,7,19,-1
20,31,5,-1
20,10,24,-1
19,14,20,-1
8,14,0,-1
25,25,34,-1
22,13,17,-1
11,22,33,-1
33,30,14,-1
12,19,12,-1
24,20,35,-1
23,20,10,-1
9,5,21,-1
33,24,15,-1
33,12,30,-1
33,18,35,-1
31,4,13,-1
13,15,35,-1
26,28,9,-1
4,4,29,-1
16,28,13,-1
15,32,34,-1
26,5,19,-1
27,18,23,-1
6,15,35,-1
16,13,33,-1
16,8,1,-1
9,1,32,-1
8,8,24,-1
33,12,29,-1
26,9,1,-1
4,4,33,-1
18,10,18,-1
17,1,0,-1
4,24,16,-1
19,20,29,-1
17,16,17,-1
18,25,35,-1
31,13,7,-1
19,11,19,-1
28,1,8,-1
30,21,13,-1
7,3,23,-1
26,20,5,-1
26,4,9,-1
6,24,29,-1
15,21,10,-1
13,3,35,-1
12,14,29,-1
19,34,4,-1
18,26,21,-1
27,0,7,-1
4,8,26,-1
7,14,27,-1
12,20,31,-1
21,7,35,-1
15,22,20,-1
5,35,4,-1
20,27,18,-1
13,10,32,-1
17,9,23,-1
3,0,3,-1
26,20,27,-1
16,27,5,-1
7,4,26,-1
19,25,33,-1
34,20,35,-1
35,25,15,-1
3,10,6,-1
1,3,33,-1
34,1,6,-1
1,4,22,-1
4,10,22,-1
32,26,13,-1
17,14,33,-1
23,13,3,-1
20,27,23,-1
0,26,29,-1
15,9,19,-1
1,11,22,-1
34,25,23,-1
20,26,7,-1
6,10,17,-1
28,22,24,-1
22,4,18,-1
19,27,31,-1
22,28,22,-1
26,28,13,-1
35,23,2,-1
18,24,13,-1
20,3,18,-1
24,23,24,-1
31,10,35,-1
29,18,1,-1
17,4,5,-1
35,4,13,-1
10,6,21,-1
32,12,13,-1
25,11,16,-1
28,29,4,-1
21,14,23,-1
4,2,11,-1
28,13,1,-1
7,6,19,-1
9,3,4,-1
30,18,24,-1
7,28,30,-1
28,5,7,-1
21,10,18,-1
17,18,28,-1
22,4,22,-1
9,24,4,-1
0,32,17,-1
1,20,4,-1
1,29,23,-1
5,23,6,-1
29,11,34,-1
3,19,3,-1
26,21,30,-1
25,2,12,-1
17,4,16,-1
19,30,20,-1
23,10,33,-1
20,12,17,-1
4,13,10,-1
28,34,13,-1
34,7,4,-1
12,26,4,-1
32,17,25,-1
26,6,7,-1
2,3,28,-1
35,22,22,-1
35,25,32,-1
32,9,24,-1
13,30,17,-1
3,22,15,-1
33,0,22,-1
1,28,29,-1
5,4,10,-1
10,30,32,-1
18,13,35,-1
26,28,1,-1
12,27,6,-1
24,4,15,-1
13,17,25,-1
30,21,11,-1
10,18,27,-1
12,35,0,-1
5,21,4,-1
31,31,15,-1
27,29,8,-1
6,19,0,-1
23,11,7,-1
29,0,11,-1
25,13,9,-1
14,23,10,-1
6,13,8,-1
13,6,7,-1
13,11,28,-1
18,23,4,-1
33,30,13,-1
5,1,13,-1
21,4,24,-1
8,34,4,-1
20,23,33,-1
29,1,21,-1
19,23,34,-1
27,1,4,-1
14,14,32,-1
23,32,35,-1
27,9,29,-1
20,30,10,-1
33,31,15,-1
2,4,13,-1
6,4,16,-1
20,33,33,-1
5,32,21,-1
19,23,22,-1
4,1,16,-1
16,24,29,-1
31,31,2,-1
24,16,13,-1
35,29,24,-1
30,31,28,-1
23,18,32,-1
3,18,9,-1
0,23,5,-1
1,22,28,-1
3,6,10,-1
20,2,34,-1
13,33,10,-1
31,22,26,-1
24,1,35,-1
13,11,11,-1
5,34,9,-1
18,1,27,-1
27,17,14,-1
33,19,16,-1
5,2,23,-1
15,22,5,-1
30,35,3,-1
4,11,5,-1
10,35,6,-1
9,12,33,-1
20,34,31,-1
29,16,12,-1
20,7,29,-1
14,20,28,-1
11,6,31,-1
14,1,33,-1
19,31,33,-1
22,15,24,-1
27,25,23,-1
13,35,0,-1
10,35,34,-1
5,9,14,-1
33,9,1,-1
7,24,2,-1
35,35,8,-1
10,13,9,-1
24,12,21,-1
1,35,0,-1
25,6,26,-1
12,20,5,-1
12,30,20,-1
26,16,29,-1
20,13,3,-1
22,20,7,-1
24,0,6,-1
12,26,35,-1
21,30,27,-1
6,31,26,-1
23,20,33,-1
13,33,33,-1
34,25,27,-1
18,32,23,-1
12,16,17,-1
31,18,17,-1
2,22,33,-1
24,34,24,-1
3,0,18,-1
30,22,30,-1
21,9,14,-1
34,2,27,-1
31,0,33,-1
2,19,29,-1
6,11,9,-1
23,6,8,-1
4,24,30,-1
2,12,29,-1
6,15,9,-1
4,9,31,-1
34,10,21,-1
29,24,23,-1
20,19,4,-1
17,2,3,-1
26,8,30,-1
16,31,16,-1
24,15,4,-1
18,33,16,-1
27,19,31,-1
16,24,20,-1
28,2,11,-1
13,31,35,-1
16,32,19,-1
0,29,21,-1
3,20,9,-1
33,0,20,-1
13,24,35,-1
17,22,13,-1
13,30,32,-1
24,10,0,-1
25,2,19,-1
0,15,30,-1
35,12,6,-1
34,12,0,-1
35,16,0,-1
8,29,16,-1
28,23,20,-1
8,20,6,-1
1,34,0,-1
13,2,27,-1
14,27,29,-1
13,27,25,-1
23,27,1,-1
30,5,29,-1
30,5,9,-1
10,13,19,-1
26,22,6,-1
10,10,6,-1
16,11,4,-1
33,24,7,-1
24,18,14,-1
17,11,6,-1
22,35,13,-1
23,29,18,-1
17,3,3,-1
6,13,33,-1
5,3,35,-1
11,13,9,-1
18,9,20,-1
2,6,24,-1
25,10,7,-1
4,8,18,-1
26,30,33,-1
19,18,26,-1
17,15,29,-1
21,1,6,-1
34,7,25,-1
33,34,2,-1
6,32,12,-1
6,15,34,-1
30,4,9,-1
17,24,33,-1
16,30,27,-1
13,13,25,-1
4,11,20,-1
13,12,22,-1
0,10,9,-1
25,7,7,-1
28,13,20,-1
20,19,35,-1
34,29,19,-1
23,11,24,-1
20,7,18,-1
12,20,12,-1
17,4,23,-1
2,18,15,-1
24,18,25,-1
33,23,32,-1
20,15,9,-1
4,15,8,-1
3,30,1,-1
3,17,28,-1
27,18,35,-1
25,10,0,-1
1,27,4,-1
4,29,2,-1
19,33,0,-1
8,30,24,-1
20,31,19,-1
29,35,15,-1
17,19,9,-1
35,22,6,-1
27,13,24,-1
7,2,34,-1
7,20,6,-1
27,4,35,-1
30,24,13,-1
10,12,7,-1
34,33,2,-1
18,6,18,-1
33,4,1,-1
22,3,23,-1
28,10,16,-1
33,17,18,-1
11,4,18,-1
17,32,23,-1
33,6,27,-1
10,32,3,-1
33,31,16,-1
16,29,3,-1
14,6,7,-1
15,28,10,-1
18,0,20,-1
34,13,18,-1
32,25,22,-1
15,22,34,-1
2,35,20,-1
29,25,17,-1
12,3,28,-1
9,35,21,-1
12,13,27,-1
19,8,35,-1
29,26,15,-1
29,24,29,-1
11,0,34,-1
34,15,0,-1
12,33,0,-1
33,6,5,-1
14,19,8,-1
6,28,7,-1
7,4,0,-1
14,3,8,-1
29,12,14,-1
8,5,2,-1
17,33,19,-1
15,31,34,-1
32,23,12,-1
32,20,18,-1
17,14,1,-1
26,0,9,-1
13,7,29,-1
30,21,12,-1
2,14,24,-1
17,3,10,-1
35,0,7,-1
34,16,18,-1
13,28,5,-1
25,24,26,-1
7,21,20,-1
25,11,21,-1
14,5,28,-1
24,35,30,-1
0,17,24,-1
25,14,27,-1
15,30,28,-1
22,28,24,-1
4,5,16,-1
25,30,20,-1
31,18,21,-1
16,23,13,-1
1,1,18,-1
29,25,33,-1
3,26,30,-1
28,31,9,-1
35,10,3,-1
7,32,31,-1
11,16,17,-1
7,21,11,-1
7,17,9,-1
29,33,32,-1
6,34,34,-1
24,7,3,-1
1,11,29,-1
31,19,4,-1
20,18,14,-1
3,26,26,-1
15,1,22,-1
32,9,8,-1
23,16,5,-1
33,25,2,-1
29,31,16,-1
7,19,23,-1
11,0,14,-1
20,32,13,-1
25,32,32,-1
19,0,2,-1
26,15,19,-1
28,11,8,-1
16,34,5,-1
21,31,30,-1
23,5,26,-1
19,12,25,-1
23,23,26,-1
17,8,2,-1
31,13,34,-1
27,12,14,-1
9,2,29,-1
28,31,4,-1
17,11,19,-1
22,13,30,-1
16,16,35,-1
22,0,12,-1
12,23,35,-1
18,20,23,-1
0,15,16,-1
14,22,29,-1
29,31,31,-1
22,4,6,-1
7,21,34,-1
26,23,11,-1
20,19,27,-1
0,6,7,-1
12,34,10,-1
27,32,31,-1
15,12,26,-1
11,26,13,-1
4,19,24,-1
0,22,28,-1
22,29,29,-1
20,35,16,-1
11,35,16,-1
19,35,2,-1
26,11,16,-1
17,19,12,-1
12,14,24,-1
2,25,30,-1
31,30,14,-1
20,10,0,-1
28,32,9,-1
22,33,24,-1
18,8,23,-1
34,27,3,-1
16,18,14,-1
32,15,13,-1
24,27,27,-1
28,9,17,-1
23,21,27,-1
1,5,1,-1
17,33,13,-1
6,35,10,-1
30,18,19,-1
33,32,10,-1
0,29,8,-1
31,25,23,-1
8,14,30,-1
16,6,20,-1
33,9,5,-1
4,26,26,-1
5,23,3,-1
34,29,3,-1
9,3,1,-1
8,1,33,-1
18,17,26,-1
7,12,32,-1
10,1,26,-1
21,17,12,-1
21,30,22,-1
6,34,12,-1
32,19,0,-1
35,17,9,-1
18,26,13,-1
19,34,30,-1
33,33,11,-1
3,20,4,-1
35,10,5,-1
25,11,22,-1
18,32,16,-1
4,18,14,-1
32,14,33,-1
32,30,30,-1
22,12,1,-1
35,12,15,-1
9,9,12,-1
20,12,12,-1
24,28,3,-1
9,33,14,-1
31,15,27,-1
11,19,9,-1
5,32,4,-1
18,28,14,-1
13,14,6,-1
14,29,18,-1
29,18,27,-1
22,19,20,-1
14,7,12,-1
17,17,9,-1
12,28,5,-1
3,4,24,-1
28,25,0,-1
12,8,29,-1
26,21,23,-1
33,15,33,-1
31,8,15,-1
3,10,34,-1
23,25,22,-1
15,6,19,-1
4,34,27,-1
9,17,31,-1
14,10,1,-1
14,22,9,-1
23,13,30,-1
11,26,25,-1
24,1,33,-1
19,4,8,-1
34,7,13,-1
0,22,19,-1
19,27,34,-1
10,16,15,-1
22,30,25,-1
3,9,28,-1
12,32,5,-1
22,23,11,-1
11,27,12,-1
24,11,33,-1
32,9,4,-1
9,25,7,-1
9,8,34,-1
7,34,30,-1
2,0,25,-1
28,3,34,-1
0,31,10,-1
5,17,34,-1
32,28,25,-1
24,17,16,-1
21,29,5,-1
6,19,30,-1
13,8,2,-1
27,31,17,-1
21,33,33,-1
10,5,17,-1
8,5,12,-1
19,26,10,-1
33,22,18,-1
22,27,15,-1
19,12,9,-1
24,18,8,-1
19,31,16,-1
1,22,11,-1
34,24,8,-1
32,34,14,-1
29,23,19,-1
5,22,10,-1
15,19,12,-1
34,21,3,-1
29,4,32,-1
2,29,14,-1
10,28,26,-1
26,29,28,-1
1,28,16,-1
26,4,31,-1
4,33,18,-1
3,2,4,-1
13,34,3,-1
6,12,24,-1
9,5,9,-1
5,24,18,-1
0,14,10,-1
6,5,3,-1
34,22,11,-1
31,12,15,-1
26,32,12,-1
24,0,31,-1
28,29,29,-1
11,35,21,-1
35,25,6,-1
24,10,30,-1
6,26,25,-1
16,32,30,-1
0,11,32,-1
11,22,25,-1
7,12,1,-1
19,16,17,-1
14,24,11,-1
23,35,26,-1
24,34,31,-1
31,3,6,-1
5,9,32,-1
30,6,9,-1
4,22,20,-1
17,13,22,-1
22,20,14,-1
23,4,30,-1
5,34,18,-1
32,2,17,-1
2,26,31,-1
34,1,34,-1
20,23,8,-1
32,33,30,-1
5,18,16,-1
5,35,9,-1
7,1,30,-1
21,24,14,-1
15,9,12,-1
33,21,14,-1
30,24,21,-1
26,2,2,-1
24,22,25,-1
12,34,23,-1
22,20,21,-1
18,5,20,-1
28,13,21,-1
22,34,25,-1
0,14,35,-1
28,27,20,-1
23,22,24,-1
24,28,26,-1
26,16,28,-1
32,9,27,-1
35,11,11,-1
20,30,16,-1
4,22,29,-1
5,24,28,-1
10,4,22,-1
9,32,13,-1
10,35,15,-1
14,23,7,-1
5,30,4,-1
13,26,13,-1
4,25,4,-1
31,9,34,-1
12,29,0,-1
21,14,24,-1
29,24,28,-1
15,14,5,-1
9,4,20,-1
24,18,24,-1
32,3,18,-1
0,17,24,-1
29,1,13,-1
33,33,2,-1
12,9,11,-1
12,10,25,-1
1,4,13,-1
9,19,27,-1
30,28,31,-1
31,33,30,-1
19,9,33,-1
17,9,30,-1
5,18,32,-1
34,31,29,-1
0,7,18,-1
11,20,28,-1
0,1,32,-1
29,10,32,-1
21,21,4,-1
32,16,1,-1
26,35,10,-1
4,16,35,-1
34,1,33,-1
30,35,29,-1
3,35,0,-1
21,26,20,-1
14,6,1,-1
26,35,28,-1
2,0,13,-1
7,13,9,-1
24,19,24,-1
15,23,20,-1
14,2,21,-1
28,32,20,-1
21,0,35,-1
21,1,5,-1
22,31,11,-1
23,22,26,-1
15,4,7,-1
8,11,0,-1
17,16,19,-1
5,31,23,-1
25,25,25,-1
10,17,1,-1
10,2,17,-1
25,4,35,-1
30,6,30,-1
21,29,32,-1
12,25,1,-1
35,33,28,-1
15,31,8,-1
14,16,3,-1
1,6,9,-1
6,32,26,-1
24,23,9,-1
21,12,13,-1
20,7,19,-1
31,28,28,-1
27,20,33,-1
28,35,31,-1
21,14,6,-1
29,29,22,-1
13,10,8,-1
22,33,5,-1
28,21,8,-1
1,22,20,-1
30,7,27,-1
29,2,0,-1
2,29,0,-1
35,2,0,-1
30,3,30,-1
16,12,3,-1
3,25,14,-1
11,27,11,-1
32,20,12,-1
4,1,34,-1
25,32,21,-1
32,5,23,-1
12,7,33,-1
13,7,15,-1
29,17,18,-1
3,34,30,-1
7,1,0,-1
1,28,27,-1
12,25,27,-1
4,29,29,-1
2,34,5,-1
24,11,10,-1
27,23,18,-1
24,16,25,-1
19,9,22,-1
1,29,20,-1
12,0,1,-1
12,1,30,-1
3,29,19,-1
11,33,28,-1
4,15,7,-1
9,3,18,-1
35,11,21,-1
17,15,2,-1
22,35,27,-1
9,0,20,-1
9,28,20,-1
11,4,1,-1
5,24,30,-1
4,35,7,-1
32,19,23,-1
19,28,6,-1
1,27,33,-1
23,25,13,-1
5,27,12,-1
32,16,28,-1
17,26,21,-1
17,1,5,-1
35,22,9,-1
29,26,8,-1
17,2,27,-1
20,22,35,-1
6,23,7,-1
4,26,12,-1
17,31,3,-1
29,28,20,-1
1,25,10,-1
22,22,27,-1
8,21,13,-1
17,31,3,-1
6,12,5,-1
33,12,7,-1
13,18,11,-1
0,22,1,-1
12,3,13,-1
15,12,21,-1
35,14,26,-1
25,16,12,-1
16,24,34,-1
29,6,29,-1
12,12,21,-1
34,25,33,-1
21,18,15,-1
32,34,2,-1
14,10,21,-1
27,6,14,-1
28,5,28,-1
18,11,24,-1
30,7,13,-1
8,17,35,-1
1,29,27,-1
2,7,32,-1
35,29,31,-1
31,25,29,-1
13,19,4,-1
34,26,10,-1
28,18,31,-1
20,0,22,-1
25,11,30,-1
18,19,11,-1
17,1,20,-1
24,3,28,-1
0,19,1,-1
11,14,6,-1
5,7,26,-1
25,21,16,-1
15,14,15,-1
26,34,31,-1
13,23,6,-1
23,5,6,-1
34,2,7,-1
34,6,26,-1
6,23,9,-1
7,34,3,-1
14,19,10,-1
20,8,32,-1
0,3,10,-1
15,30,24,-1
27,23,28,-1
33,26,13,-1
3,24,32,-1
26,2,2,-1
33,9,5,-1
22,16,4,-1
26,10,23,-1
16,30,12,-1
12,11,15,-1
2,26,25,-1
7,17,28,-1
35,31,18,-1
28,14,22,-1
24,21,25,-1
7,18,34,-1
12,4,30,-1
32,10,5,-1
20,27,35,-1
32,19,10,-1
27,2,17,-1
33,9,14,-1
25,24,25,-1
8,16,4,-1
10,5,25,-1
35,28,23,-1
33,4,27,-1
8,1,2,-1
13,1,9,-1
28,13,28,-1
3,20,30,-1
0,17,3,-1
14,7,27,-1
4,31,24,-1
24,5,9,-1
29,21,1,-1
16,34,21,-1
23,6,2,-1
25,19,3,-1
34,12,32,-1
7,31,17,-1
1,31,34,-1
21,25,21,-1
28,9,32,-1
16,13,18,-1
25,6,3,-1
6,22,1,-1
28,10,8,-1
30,15,7,-1
14,30,35,-1
10,1,30,-1
27,18,5,-1
6,19,11,-1
27,12,0,-1
4,8,14,-1
22,14,20,-1
25,20,23,-1
26,28,13,-1
14,23,28,-1
22,1,2,-1
21,27,19,-1
32,19,2,-1
17,5,21,-1
28,32,13,-1
29,16,2,-1
23,2,32,-1
23,27,16,-1
10,34,25,-1
3,12,28,-1
12,14,9,-1
14,0,0,-1
34,12,35,-1
16,29,4,-1
17,2,17,-1
31,11,33,-1
13,34,0,-1
9,21,7,-1
5,12,21,-1
30,15,14,-1
22,27,28,-1
31,6,8,-1
12,20,20,-1
11,0,14,-1
16,17,32,-1
13,28,7,-1
10,5,21,-1
26,30,6,-1
14,0,34,-1
35,10,14,-1
13,13,5,-1
6,24,27,-1
14,0,11,-1
15,28,27,-1
29,8,9,-1
5,1,17,-1
12,11,3,-1
13,18,33,-1
19,32,13,-1
34,31,4,-1
12,25,17,-1
33,11,5,-1
5,25,22,-1
32,20,14,-1
24,29,2,-1
13,34,3,-1
30,26,30,-1
13,3,12,-1
11,3,8,-1
4,1,20,-1
8,13,25,-1
5,26,0,-1
27,31,5,-1
13,28,26,-1
7,16,19,-1
25,9,18,-1
8,19,8,-1
2,33,12,-1
15,24,31,-1
3,8,32,-1
3,17,9,-1
28,22,35,-1
28,29,31,-1
34,6,3,-1
4,29,19,-1
23,18,8,-1
21,26,27,-1
10,9,4,-1
2,4,28,-1
33,7,1,-1
29,11,34,-1
2,19,0,-1
17,12,30,-1
28,26,16,-1
31,10,10,-1
30,33,8,-1
2,35,15,-1
30,9,24,-1
14,11,28,-1
7,8,35,-1
24,1,26,-1
22,19,26,-1
2,16,18,-1
32,9,24,-1
13,20,34,-1
3,15,31,-1
11,33,30,-1
26,7,19,-1
30,22,30,-1
22,29,18,-1
2,33,19,-1
8,35,18,-1
34,1,15,-1
16,14,24,-1
20,27,24,-1
18,10,3,-1
30,1,1,-1
4,8,8,-1
24,2,30,-1
18,5,3,-1
1,7,16,-1
0,31,15,-1
35,10,33,-1
14,6,11,-1
18,27,18,-1
6,9,28,-1
26,3,9,-1
27,8,17,-1
15,32,0,-1
26,30,5,-1
9,31,28,-1
26,12,23,-1
21,11,33,-1
18,5,4,-1
29,23,31,-1
27,29,4,-1
19,19,24,-1
9,26,32,-1
26,22,8,-1
26,12,2,-1
31,21,14,-1
3,27,26,-1
27,13,17,-1
24,31,2,-1
8,5,25,-1
3,32,34,-1
24,32,34,-1
12,5,24,-1
24,11,26,-1
32,18,2,-1
34,29,4,-1
12,33,31,-1
18,24,24,-1
15,28,0,-1
17,1,5,-1
22,20,17,-1
21,24,29,-1
19,16,34,-1
23,4,26,-1
14,0,8,-1
32,15,1,-1
0,7,34,-1
12,6,2,-1
0,21,31,-1
0,19,12,-1
21,5,12,-1
3,26,1,-1
32,25,17,-1
11,13,2,-1
17,7,2,-1
25,3,33,-1
6,20,5,-1
21,32,11,-1
23,12,12,-1
34,13,31,-1
26,34,1,-1
3,17,7,-1
4,30,33,-1
21,5,26,-1
23,22,13,-1
6,27,16,-1
19,13,16,-1
4,34,12,-1
15,2,25,-1
8,16,18,-1
3,7,32,-1
20,10,14,-1
8,14,8,-1
5,15,29,-1
11,19,31,-1
24,5,2,-1
20,24,15,-1
1,29,30,-1
13,24,32,-1
18,12,12,-1
16,32,19,-1
13,16,9,-1
7,24,23,-1
31,9,19,-1
24,0,2,-1
35,24,23,-1
17,9,27,-1
32,26,20,-1
6,19,25,-1
18,2,1,-1
31,18,33,-1
30,11,30,-1
4,18,34,-1
7,13,24,-1
26,17,24,-1
8,32,29,-1
11,13,18,-1
3,26,8,-1
3,32,27,-1
28,15,9,-1
10,26,28,-1
23,0,19,-1
33,20,2,-1
32,28,31,-1
0,34,29,-1
24,23,25,-1
33,34,3,-1
15,17,29,-1
23,21,5,-1
15,29,20,-1
4,19,26,-1
32,7,27,-1
32,20,11,-1
34,16,19,-1
9,32,18,-1
2,1,21,-1
8,34,35,-1
11,14,17,-1
20,1,2,-1
25,32,11,-1
26,1,31,-1
16,13,18,-1
7,25,2,-1
19,3,35,-1
18,13,31,-1
0,31,32,-1
1,3,31,-1
1,14,25,-1
34,14,6,-1
16,20,19,-1
27,10,20,-1
2,26,13,-1
20,14,3,-1
23,13,6,-1
2,31,35,-1
33,12,31,-1
10,13,34,-1
21,30,29,-1
10,28,23,-1
16,8,7,-1
35,16,17,-1
35,18,24,-1
29,19,18,-1
12,22,11,-1
34,24,6,-1
34,1,34,-1
9,11,28,-1
23,12,2,-1
16,22,31,-1
4,19,19,-1
27,18,15,-1
25,18,34,-1
13,27,33,-1
11,3,19,-1
22,1,7,-1
8,15,24,-1
7,4,0,-1
15,28,28,-1
17,24,15,-1
12,8,34,-1
12,0,32,-1
27,25,30,-1
5,18,21,-1
2,29,4,-1
1,31,22,-1
8,3,1,-1
33,10,6,-1
13,25,14,-1
5,7,2,-1
0,35,11,-1
14,27,11,-1
11,35,16,-1
5,20,34,-1
7,23,7,-1
11,24,2,-1
33,13,5,-1
15,26,32,-1
1,3,1,-1
15,24,24,-1
17,5,4,-1
28,19,31,-1
19,10,30,-1
35,32,15,-1
13,3,18,-1
20,30,22,-1
22,8,15,-1
8,3,5,-1
4,4,24,-1
5,35,13,-1
10,16,34,-1
14,25,17,-1
25,24,8,-1
20,4,4,-1
15,17,23,-1
13,18,17,-1
15,4,5,-1
31,28,8,-1
0,32,28,-1
25,18,27,-1
18,28,24,-1
32,22,29,-1
13,11,17,-1
1,11,21,-1
5,6,19,-1
28,19,1,-1
26,35,21,-1
11,10,14,-1
0,10,10,-1
28,15,8,-1
0,13,16,-1
24,9,2,-1
17,3,30,-1
14,4,5,-1
0,26,12,-1
19,18,11,-1
0,24,26,-1
21,16,0,-1
35,16,27,-1
10,24,22,-1
34,24,0,-1
15,28,9,-1
33,9,28,-1
27,24,33,-1
13,4,23,-1
25,3,21,-1
16,3,26,-1
23,24,6,-1
23,24,2,-1
30,14,26,-1
17,28,15,-1
17,7,7,-1
6,21,33,-1
15,12,1,-1
12,25,5,-1
15,30,24,-1
16,27,27,-1
6,14,31,-1
28,17,35,-1
30,12,13,-1
21,29,6,-1
16,26,29,-1
3,12,14,-1
16,27,7,-1
17,19,32,-1
2,14,7,-1
6,31,34,-1
33,17,28,-1
9,10,9,-1
8,20,21,-1
2,21,30,-1
24,1,0,-1
17,21,29,-1
12,1,20,-1
19,35,20,-1
31,17,34,-1
18,24,9,-1
16,1,27,-1
8,10,1,-1
18,19,21,-1
19,21,7,-1
30,9,24,-1
30,6,9,-1
23,34,27,-1
24,17,26,-1
24,29,7,-1
22,11,31,-1
32,8,33,-1
23,32,23,-1
4,30,6,-1
5,14,7,-1
28,8,32,-1
17,18,3,-1
6,6,1,-1
13,10,35,-1
3,34,28,-1
